발생년,주야,요일,사망자수,사상자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,법규위반_대분류,법규위반,경도,위도
2013,야간,금,1,19,서울,영등포구,차대차,기타,기타,운전자법규위반,과속,126.8979878,37.48753872
2013,야간,월,1,1,경남,진주시,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,128.0786626,35.15570854
2013,야간,수,1,1,충남,천안시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,127.1387596,36.81860691
2013,야간,월,1,1,경기,안산시,차대차,추돌,주정차중 추돌,운전자법규위반,안전운전 의무 불이행,126.8621161,37.33600221
2013,야간,화,1,1,강원,강릉시,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,128.9470377,37.7322522
2013,야간,수,1,1,제주,제주시,차대사람,횡단중,횡단중,운전자법규위반,보행자 보호의무 위반,126.5424325,33.51334421
2013,야간,화,1,1,대구,수성구,차대차,측면직각충돌,측면직각충돌,운전자법규위반,안전운전 의무 불이행,128.6177244,35.85970024
2013,주간,토,1,1,부산,사하구,차량단독,도로이탈,도로이탈 기타,운전자법규위반,안전운전 의무 불이행,128.9465679,35.10789015
2013,야간,토,1,1,서울,동작구,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,126.9385845,37.51339839
2013,야간,토,1,1,전남,담양군,차대사람,보도통행중,보도통행중,운전자법규위반,보행자 보호의무 위반,126.9652922,35.33419351
2013,야간,토,1,1,전남,영광군,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,126.3349754,35.22351301
2013,야간,토,1,1,충남,천안시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,127.130505,36.79809121
2013,야간,금,1,2,경남,김해시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,128.8962332,35.2314715
2013,주간,월,1,7,서울,서대문구,차량단독,기타,기타,운전자법규위반,안전운전 의무 불이행,126.9485181,37.56874478
2013,야간,일,1,1,충남,공주시,차대사람,길가장자리구역통행중,길가장자리구역통행중,운전자법규위반,안전운전 의무 불이행,127.1493401,36.49875389
2013,주간,수,1,2,경기,시흥시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,126.7447828,37.34157593
2012,주간,목,1,1,대전,대덕구,차대차,추돌,주정차중 추돌,운전자법규위반,안전운전 의무 불이행,127.4185771,36.4023454
2013,주간,월,1,1,울산,남구,차대차,기타,기타,운전자법규위반,신호위반,129.3395789,35.51426981
2013,야간,수,1,3,광주,광산구,차대차,정면충돌,정면충돌,운전자법규위반,중앙선 침범,126.7899279,35.14538852
2013,야간,수,1,1,부산,기장군,차대사람,횡단중,횡단중,운전자법규위반,신호위반,129.2089632,35.24983647
2013,야간,수,1,1,전남,해남군,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,126.5092758,34.36658491
2013,주간,수,1,1,강원,양양군,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,128.6807246,38.05987494
2013,주간,화,1,1,충북,청주시,차대차,추돌,주정차중 추돌,운전자법규위반,안전운전 의무 불이행,127.4747429,36.59984815
2013,야간,수,1,1,경기,양주시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,127.046183,37.80740934
2013,주간,화,1,1,대구,수성구,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,128.6138094,35.85613937
2013,주간,일,1,1,부산,수영구,차량단독,기타,기타,운전자법규위반,안전운전 의무 불이행,129.1100451,35.16850823
2013,야간,일,1,1,제주,제주시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,126.5276868,33.50036807
2012,주간,토,1,1,경기,파주시,차대차,기타,기타,운전자법규위반,신호위반,126.7656679,37.76389477
2014,야간,월,1,2,전남,광양시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,127.7798561,35.02048014
2013,야간,월,1,1,충북,청주시,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,127.4813084,36.63613208
2013,주간,화,1,3,전남,보성군,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,127.239307,34.80846643
2014,야간,수,1,1,경북,포항시,차대차,측면직각충돌,측면직각충돌,운전자법규위반,신호위반,129.3812528,36.00342549
2012,야간,화,1,1,경기,부천시,차대차,측면직각충돌,측면직각충돌,운전자법규위반,신호위반,126.7706331,37.4816744
2012,주간,수,1,27,경기,안양시,차대차,측면직각충돌,측면직각충돌,운전자법규위반,중앙선 침범,126.9037699,37.43175583
2014,야간,화,1,1,서울,마포구,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,126.9293512,37.55038341
2014,야간,화,1,1,광주,서구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,126.8811972,35.15276899
2014,야간,목,1,1,경기,이천시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,127.4876269,37.33953297
2014,주간,화,1,1,경북,포항시,차대차,기타,기타,운전자법규위반,신호위반,129.3723768,36.03996462
2014,야간,목,1,1,경기,이천시,차대차,측면직각충돌,측면직각충돌,운전자법규위반,안전운전 의무 불이행,127.4580389,37.27594171
2014,주간,화,1,1,충북,청주시,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,127.4612367,36.62205754
2014,주간,금,1,2,경남,창녕군,차대차,추돌,진행중 추돌,운전자법규위반,앞지르기 금지위반,128.4827363,35.55321975
2014,야간,일,2,2,경기,광주시,차대차,측면직각충돌,측면직각충돌,운전자법규위반,신호위반,127.2490479,37.39405363
2014,주간,목,1,1,인천,서구,차대사람,기타,기타,운전자법규위반,기타(운전자법규위반),126.6373406,37.59751713
2014,야간,목,1,1,서울,강북구,차대사람,횡단중,횡단중,운전자법규위반,과속,127.0416618,37.63058777
2014,주간,목,1,1,충남,천안시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,127.134616,36.79868986
2013,야간,일,1,1,경북,문경시,차량단독,도로이탈,도로이탈 추락,운전자법규위반,안전운전 의무 불이행,128.2162766,36.61360057
2013,야간,금,1,2,서울,노원구,차대차,측면직각충돌,측면직각충돌,운전자법규위반,신호위반,127.055347,37.68470224
2013,야간,화,1,1,강원,강릉시,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,128.9068211,37.7502479
2013,야간,토,1,1,충남,공주시,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,127.1260473,36.44306854
2013,주간,화,1,1,인천,서구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,126.6667954,37.48950544
2013,야간,수,1,1,서울,동작구,차량단독,기타,기타,운전자법규위반,안전운전 의무 불이행,126.9389863,37.50492036
2013,주간,화,1,1,경기,화성시,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,127.069864,37.194898
2014,주간,월,1,1,경기,시흥시,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,126.7730347,37.42988837
2014,주간,월,1,1,대구,북구,차대차,측면직각충돌,측면직각충돌,운전자법규위반,안전운전 의무 불이행,128.6000194,35.9136687
2014,야간,화,1,1,제주,제주시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,126.5571425,33.51511658
2014,야간,화,1,1,경기,화성시,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,126.9182496,37.11948787
2014,야간,월,1,1,경북,경주시,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,129.2553964,35.99670694
2014,주간,금,1,3,전북,김제시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,126.8752818,35.78946116
2014,야간,월,1,1,충북,청주시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,127.4885428,36.65534659
2014,주간,일,1,3,강원,동해시,차대차,추돌,진행중 추돌,운전자법규위반,교차로 통행방법 위반,129.104174,37.52531751
2014,주간,목,1,1,경북,구미시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,128.3360822,36.10595442
2014,야간,금,1,1,경기,남양주시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,127.2840696,37.6573202
2014,야간,목,1,1,서울,강남구,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,127.0369555,37.51035657
2014,야간,목,2,3,충북,진천군,차대차,정면충돌,정면충돌,운전자법규위반,중앙선 침범,127.4410973,36.99899965
2014,야간,월,1,1,경북,포항시,차량단독,기타,기타,운전자법규위반,안전운전 의무 불이행,129.3452362,35.9717673
2014,주간,토,1,1,전남,고흥군,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,127.1923473,34.55500878
2014,주간,일,1,1,경북,고령군,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,128.3846794,35.74596844
2013,야간,토,1,1,전북,전주시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,127.1229766,35.81380877
2012,주간,금,1,2,경기,성남시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,127.1268097,37.44400066
2012,야간,금,1,1,전북,완주군,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,127.1686384,35.75229038
2012,야간,월,1,1,전북,정읍시,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,126.8352903,35.71626123
2012,야간,월,1,1,경북,안동시,차대차,추돌,주정차중 추돌,운전자법규위반,안전운전 의무 불이행,128.7756302,36.57152452
2012,주간,금,1,1,경남,함안군,차대차,측면직각충돌,측면직각충돌,운전자법규위반,안전운전 의무 불이행,128.38543,35.32526286
2012,주간,일,1,1,경북,군위군,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,128.7503639,36.15859216
2012,주간,화,1,1,강원,춘천시,차량단독,기타,기타,운전자법규위반,안전운전 의무 불이행,127.7026684,37.87464406
2012,야간,목,1,1,경기,시흥시,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,126.7441251,37.35762511
2012,주간,목,1,1,전남,여수시,차대차,정면충돌,정면충돌,운전자법규위반,안전운전 의무 불이행,127.7504226,34.76370595
2012,주간,월,2,6,강원,영월군,차대차,정면충돌,정면충돌,운전자법규위반,중앙선 침범,128.5081659,37.1486277
2012,주간,화,1,2,경기,가평군,차대차,측면직각충돌,측면직각충돌,운전자법규위반,중앙선 침범,127.4748195,37.59107681
2012,주간,화,1,1,충남,논산시,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,127.2183083,36.24957217
2012,주간,금,1,1,대전,중구,차대차,측면직각충돌,측면직각충돌,운전자법규위반,안전운전 의무 불이행,127.3907015,36.3269004
2012,주간,금,1,1,전남,담양군,차량단독,도로이탈,도로이탈 추락,운전자법규위반,안전운전 의무 불이행,126.9885036,35.27046352
2012,야간,수,1,1,경남,창녕군,차대사람,기타,기타,운전자법규위반,보행자 보호의무 위반,128.4341207,35.51479125
